index,id,category,item
TBL-02-02-001,JlAKpXU,構造と機能,中枢神経系と末梢神経系の構成
TBL-02-02-002,JlAKpXY,構造と機能,脳の血管支配と血液脳関門
TBL-02-02-003,JlAKpXc,構造と機能,脳のエネルギー代謝の特徴
TBL-02-02-004,JlAKpXg,構造と機能,主な脳内神経伝達物質（アセチルコリン・ドパミン・ノルアドレナリン）とその作用
TBL-02-02-005,JlAKpXk,構造と機能,髄膜・脳室系の構造と脳脊髄液の産生と循環
TBL-02-02-006,JlAKpXo,構造と機能,脊髄の構造、機能局在と伝導路
TBL-02-02-007,JlAKpXs,構造と機能,脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配
TBL-02-02-008,JlAKpXw,構造と機能,脊髄神経と神経叢（頸・腕・腰仙骨）の構成および主な骨格筋支配と皮膚分布（デルマトーム）
TBL-02-02-009,JlAKpX0,構造と機能,脳幹の構造と機能、及び伝導路
TBL-02-02-010,JlAKpX4,構造と機能,脳神経の名称、核の局在、走行・分布と機能
TBL-02-02-011,JlAKpX8,構造と機能,大脳の構造と大脳皮質の機能局在（運動野・感覚野・言語野）
TBL-02-02-012,JlAKpYA,構造と機能,辺縁系の構造と記憶・学習の機序との関連
TBL-02-02-013,JlAKpYE,構造と機能,錐体路を中心とした随意運動の発現機構
TBL-02-02-014,JlAKpYI,構造と機能,小脳の構造と機能
TBL-02-02-015,JlAKpYM,構造と機能,大脳基底核（線条体・淡蒼球・黒質）の線維結合と機能
TBL-02-02-016,JlAKpYQ,構造と機能,痛覚、温度覚、触覚と深部感覚の受容機序と伝導路
TBL-02-02-017,JlAKpYU,構造と機能,視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路
TBL-02-02-018,JlAKpYY,構造と機能,交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質
TBL-02-02-019,JlAKpYc,構造と機能,内分泌及び自律機能と関連づけた視床下部の構造と機能
TBL-02-02-020,JlAKpYg,構造と機能,ストレス反応と本能・情動行動の発現機序
TBL-02-02-021,JlAKpYw,症候,意識障害
TBL-02-02-022,JlAKpYs,症候,けいれん
TBL-02-02-023,JlAKpYo,症候,めまい
TBL-02-02-024,JlAKpZE,症候,認知機能障害
TBL-02-02-025,JlAKpYk,症候,頭痛
TBL-02-02-026,JlAKpY4,症候,運動麻痺・筋力低下
TBL-02-02-027,JlAKpY8,症候,歩行障害
TBL-02-02-028,JlAKpZA,症候,感覚障害
TBL-02-02-029,JlAKpZI,症候,失語症・構音障害
TBL-02-02-030,JlAKpZM,症候,振戦
TBL-02-02-031,JlAKpZQ,症候,小脳性・前庭性・感覚性運動失調障害
TBL-02-02-032,JlAKpZU,症候,不随意運動（ミオクローヌス・舞踏運動・ジストニア・固定姿勢保持困難・アテトーシス・チック）
TBL-02-02-033,JlAKpZY,症候,頭蓋内圧亢進（急性・慢性）
TBL-02-02-034,JlAKpZc,症候,脳ヘルニア
TBL-02-02-035,JlAKpZg,検査方法,脳・脊髄の画像検査（CT・MRI）
TBL-02-02-036,JlAKpZk,検査方法,神経系の電気生理学的検査(脳波検査、針筋電図検査、末梢神経伝導検査）
TBL-02-02-037,JlAKpZo,特異的治療法,脳血管障害の急性期治療とリハビリテーション医療
