index,id,category,item
TBL-02-08-001,JlAKpl8,構造と機能,体液の量と組成・浸透圧（小児と成人の違いを含めて）
TBL-02-08-002,JlAKpmA,構造と機能,腎・尿路系の位置・形態と血管分布・神経支配
TBL-02-08-003,JlAKpmE,構造と機能,腎の機能の全体像やネフロン各部の構造と機能
TBL-02-08-004,JlAKpmI,構造と機能,腎糸球体における濾過の機序
TBL-02-08-005,JlAKpmM,構造と機能,尿細管各部における再吸収・分泌機構と尿の濃縮機序
TBL-02-08-006,JlAKpmQ,構造と機能,水電解質、酸・塩基平衡の調節機構
TBL-02-08-007,JlAKpmU,構造と機能,腎で産生される又は腎に作用するホルモン・血管作動性物質（エリスロポエチン、ビタミンD、レニン、アンギオテンシンII、アルドステロン）の作用
TBL-02-08-008,JlAKpmY,構造と機能,蓄排尿の機序
TBL-02-08-009,JlAKpmk,症候,浮腫
TBL-02-08-010,JlAKpmc,症候,血尿
TBL-02-08-011,JlAKpmg,症候,タンパク尿
TBL-02-08-012,JlAKpms,症候,尿量・排尿の異常
TBL-02-08-013,JlAKpmo,症候,脱水
TBL-02-08-014,JlAKpmw,症候,臨床症候の分類（急性腎炎症候群・慢性腎炎症候群・ネフローゼ症候群・急速進行性腎炎症候群・反復性または持続性血尿症候群）
TBL-02-08-015,JlAKpm0,検査方法,糸球体濾過量（実測・推算）を含む腎機能検査法
TBL-02-08-016,JlAKpm4,検査方法,腎・尿路系の画像診断（エックス線撮影・尿路造影・CT・MRI）
TBL-02-08-017,JlAKpm8,検査方法,腎生検の適応と禁忌
TBL-02-08-018,JlAKpnA,検査方法,尿流動態検査
TBL-02-08-019,JlAKpnE,特異的治療法,腎代替療法（血液透析・腹膜透析・腎移植）
