index,id,item
TBL-06-00-001,JkxirwY,血算
TBL-06-00-002,Jli6WW4,生化学検査
TBL-06-00-003,Jli6WW8,凝固・線溶検査
TBL-06-00-004,Jli6WXE,免疫血清学検査
TBL-06-00-005,Jli6WXI,尿検査
TBL-06-00-006,Jli6WXQ,便検査
TBL-06-00-007,Jkxir08,血液型（ABO、RhD）検査、血液交差適合（クロスマッチ）試験、不規則抗体検査
TBL-06-00-008,JkxirxY,動脈血ガス分析
TBL-06-00-009,Jkxiryk,妊娠反応検査
TBL-06-00-010,JkxirxU,細菌学検査（細菌の塗抹、培養、同定、薬剤感受性試験）
TBL-06-00-011,Jkxirxc,脳脊髄液
TBL-06-00-012,Jli6TOw,胸水検査
TBL-06-00-013,Jli6TO0,腹水検査
TBL-06-00-014,Jkxirwk,病理組織検査や細胞診検査（術中迅速診断を含む）
TBL-06-00-015,Jkxirwg,遺伝子関連・染色体検査
TBL-06-00-016,JkxirxQ,心電図
TBL-06-00-017,Jli6Y7U,呼吸機能検査
TBL-06-00-018,Jli6Y7Y,内分泌・代謝機能検査
TBL-06-00-019,Jli6Y7c,脳波検査
TBL-06-00-020,JkxirxA,超音波検査
TBL-06-00-021,Jkxirw4,エックス線撮影
TBL-06-00-022,Jli6aBM,CT検査
TBL-06-00-023,Jli6aBU,MRI検査
TBL-06-00-024,Jkxirxk,核医学検査
TBL-06-00-025,Jkxirw8,内視鏡検査
