index,id,category,item
TBL-02-11-001,Jli6Jl0,症候,発熱
TBL-02-11-002,Jli6Jl4,症候,意識障害
TBL-02-11-003,Jli6Jl8,症候,けいれん
TBL-02-11-004,Jli6JmE,症候,浮腫
TBL-02-11-005,Jli6JmI,症候,発疹
TBL-02-11-006,Jli6JmQ,症候,咳・痰
TBL-02-11-007,Jli6JmY,症候,呼吸困難
TBL-02-11-008,Jli6Jmc,症候,嚥下困難
TBL-02-11-009,Jli6Jmk,症候,腹痛
TBL-02-11-010,Jli6Jmo,症候,悪心・嘔吐
TBL-02-11-011,Jli6Jmw,症候,下血
TBL-02-11-012,Jli6Jm0,症候,便秘
TBL-02-11-013,Jli6Jm8,症候,下痢
TBL-02-11-014,Jli6JnA,症候,黄疸
TBL-02-11-015,Jli6JnI,症候,腹部膨隆・腫瘤
TBL-02-11-016,Jli6JnQ,症候,リンパ節腫脹
TBL-02-11-017,Jli6JnU,症候,尿量・排尿の異常
TBL-02-11-018,Jli6Jnc,症候,哺乳力低下
TBL-02-11-019,Jli6Jng,症候,成長障害
TBL-02-11-020,Jli6Jno,症候,活動性低下
TBL-02-11-021,Jli6Jns,検査方法,新生児マススクリーニング
TBL-02-11-022,Jli6Jn0,検査方法,新生児聴覚スクリーニング
TBL-02-11-023,Jli6Jn8,検査方法,乳幼児健康診査
TBL-02-11-024,Jli6JoA,特異的治療法,小児輸液療法
TBL-02-11-025,Jli6JoI,特異的治療法,予防接種
