index,id,category,item
TBL-02-15-001,JlAKpvw,構造と機能,外耳・中耳・内耳の構造
TBL-02-15-002,JlAKpv0,構造と機能,聴覚・平衡覚の受容のしくみと伝導路
TBL-02-15-003,JlAKpv4,構造と機能,口腔・鼻腔・咽頭・喉頭の構造
TBL-02-15-004,JlAKpv8,構造と機能,喉頭の機能と神経支配
TBL-02-15-005,JlAKpwA,構造と機能,眼球運動、姿勢制御と関連させた平衡感覚機構
TBL-02-15-006,JlAKpwE,構造と機能,味覚と嗅覚の受容のしくみと伝導路
TBL-02-15-007,JlAKpwM,症候,めまい
TBL-02-15-008,JlAKpwQ,症候,嚥下困難
TBL-02-15-009,JlAKpwU,症候,気道狭窄
TBL-02-15-010,JlAKpwY,症候,難聴
TBL-02-15-011,JlAKpwc,症候,鼻出血
TBL-02-15-012,JlAKpwg,症候,咽頭痛
TBL-02-15-013,JlAKpwk,症候,開口障害
TBL-02-15-014,JlAKpwo,症候,嗄声（反回神経麻痺）
TBL-02-15-015,JlAKpws,症候,耳鳴
TBL-02-15-016,JlAKpww,症候,鼻閉
TBL-02-15-017,JlAKpw0,症候,鼻漏
TBL-02-15-018,JlAKpw4,症候,嗅覚障害
TBL-02-15-019,JlAKpw8,症候,いびき
TBL-02-15-020,JlAKpxA,症候,味覚障害
TBL-02-15-021,JlAKpxE,症候,唾液分泌異常
TBL-02-15-022,JlAKpxI,症候,口腔内異常
TBL-02-15-023,JlAKpxM,検査方法,聴力検査と平衡機能検査
TBL-02-15-024,JlAKpxQ,検査方法,味覚検査と嗅覚検査
TBL-02-15-025,JlAKpxU,検査方法,耳鏡、鼻鏡、喉頭鏡、鼻咽腔・喉頭内視鏡
TBL-02-15-026,JlAKpxY,特異的治療法,補聴器・人工聴覚器
TBL-02-15-027,JlAKpxc,特異的治療法,気管切開
