index,id,category,item
TBL-02-18-001,JlAKp18,症候,発熱・高体温
TBL-02-18-002,JlAKp2M,症候,全身倦怠感
TBL-02-18-003,JlAKp2E,症候,意識障害
TBL-02-18-004,JlAKp2A,症候,けいれん
TBL-02-18-005,JlAKp2c,症候,浮腫
TBL-02-18-006,JlAKp2U,症候,発疹
TBL-02-18-007,JlAKp2s,症候,咳・痰
TBL-02-18-008,JlAKp2w,症候,血痰・喀血
TBL-02-18-009,JlAKp2o,症候,呼吸困難
TBL-02-18-010,JlAKp2k,症候,胸痛
TBL-02-18-011,JlAKp24,症候,腹痛
TBL-02-18-012,JlAKp28,症候,悪心・嘔吐
TBL-02-18-013,JlAKp3E,症候,吐血
TBL-02-18-014,JpeJNWo,症候,下血
TBL-02-18-015,JlAKp3A,症候,便秘
TBL-02-18-016,JpeJNWw,症候,下痢
TBL-02-18-017,JlAKp2Q,症候,黄疸
TBL-02-18-018,JlAKp2Y,症候,リンパ節腫脹
TBL-02-18-019,JlAKp3I,症候,血尿
TBL-02-18-020,JlAKp20,症候,頭痛・頭重感
TBL-02-18-021,JlAKp3Q,症候,腰背部痛
TBL-02-18-022,JlAKp3M,症候,関節痛・関節腫脹
TBL-02-18-023,JlAKp3U,症候,咽頭痛
TBL-02-18-024,JlAKp2g,症候,胸水
TBL-02-18-025,,症候,血便
TBL-02-18-026,JmnSckQ,症候,タンパク尿
TBL-02-18-027,JlAKp2I,症候,脱水
TBL-02-18-028,JlAKp14,症候,ショック
