index,UID,l4,l3_UID
PR-01-01-01,JkxiJUs,"behave honestly and with integrity to patients and society, considering what honesty and integrity are.(c.f. thinking about conflict of interest)",JnIA6vg
PR-01-01-02,JkxiJUw,"behave to be one of the members of the trustworthy professional group, considering how it should be.",JnIA6vg
PR-01-02-01,JkxiJU4,appropriately recognize their own limitations and act accordingly.,JnIA6vk
PR-01-02-02,JkxiJU8,accept feedback from others appropriately.,JnIA6vk
PR-02-01-01,JkxiJVI,"treat others, including patients, with compassion.",JnIA6vs
PR-02-01-02,JkxiJVM,consider the causes and backgrounds when they fail to treat others with compassion.,JnIA6vs
PR-02-02-01,JkxiJVU,"strive to understand others, recognizing the limits of one's own imagination.",JnIA6vw
PR-02-02-02,JkxiJVY,think about and be aware of what kind of prejudices one's own or one's own group may have that hinder one from understanding others appropriately.,JnIA6vw
PR-02-03-01,Jk3v49g,consider what respectability of physicians is and strive to possess it.,JnIA6v4
PR-02-03-02,JkxiJVc,behave with courtesy.,JnIA6v4
PR-03-01-01,Jli6cfw,learning liberal arts subjects appropriate for physicians who are deeply involved in human life.,JnIA6wE
PR-03-01-02,Jli6cf4,continue to ponder questions that have no definitive answers.,JnIA6wE
PR-04-01-01,JnNYL4E,understand an overview of ethical issues related to life and death.,JnIA6wI
PR-04-01-02,JnNYL4I,"respect patients' right including their right to make decisions, collaborating with multidisciplinary professionals and understanding diverse values.",JnIA6wI
PR-04-01-03,JnNYL4M,"describe their own opinions on ethical issues in medical practice, analyzing them with concepts in ethics.",JnIA6wI
GE-01-01-01,JkxpsrE,Understand medical problems without being restricted to an organ system.,JnICKV8
GE-01-01-02,JkxpsrI,Understand the importance of referral to appropriate health institutes and departments.,JnICKV8
GE-01-01-03,JkxpsrM,"Perform clinical reasoning using basic core frameworks (frequency, severity, urgency, anatomical approach, pathophysiological approach, dual process theory, prior probability, etc.).",JnICKV8
GE-01-01-04,JkxpsrQ,"Perform medical interview, physical examination, and test as necessary for the chief complaint.",JnICKV8
GE-01-01-05,JkxpsrU,Understand the outline of undiagnosed health problems and their intervention.,JnICKV8
GE-01-01-06,JkxpsrY,Understand the outline of intervention for multi-morbidity and multiple organ related diseases.,JnICKV8
GE-01-01-07,Jkxpsrc,Understand the outline of polypharmacy and the intervention.,JnICKV8
GE-01-02-01,Jkxpsrg,Understand comprehensive approaches for biopsychosocial problems.,JnICKWA
GE-01-02-02,Jkxpsrk,Understand approaches that take into account the impact on both person and family.,JnICKWA
GE-01-03-01,Jkxpsrw,"Elicit individual patients' medical expectation, explanatory model, and health perspective.",JnICKWI
GE-01-03-02,Jkxpsr0,"Understand the impact of the patient's social background (e.g., aspects of economy and  health system) on the illness.",JnICKWI
GE-01-03-03,JkxpssA,"Understand the overview of the impact of the continuity of medical health care (time, information, relationships, etc.).",JnICKWI
GE-01-04-01,JkxpssE,List five steps of evidence-based medicine (EBM).,JnICKWM
GE-01-04-02,JkxpssI,"Define the clinical question using PICO (PECO) framework. (patient/population / problem, intervention (exposure), comparison, and outcome)",JnICKWM
GE-01-04-03,JkxpssM,Search for the evidence from secondary sources such as databases and clinical guidelines.,JnICKWM
GE-01-04-04,JkxpssQ,Critically appraise the obtained evidence.,JnICKWM
GE-01-04-05,JkxpssU,"Understand the types of clinical practice guidelines, grading strength of the recommendations, and pitfalls in their use.",JnICKWM
GE-01-04-06,Jkxpssc,Consider the application of the evidence to patient care based on the patients' unique values and circumstances.,JnICKWM
GE-01-05-01,Jkxpssg,"Apply knowledge, theories, and interviewing methods of behavioral science to diagnosis, treatment, care, and prevention.",JnICKWU
GE-01-05-02,Jkxpssk,Suggest social support coordination and cognitive behavioral therapy as needed.,JnICKWU
GE-01-05-03,Jkxpsss,Apply behavioral economics to healthcare.,JnICKWU
GE-01-06-01,Jli5nRk,"Assess the holistic suffreing (physical, psycosocial, and spiritural) based on the concept of palliative care.",JnICKWY
GE-01-06-02,Jli5nRs,Understand the overview of pharmacological and non-pharmacological palliative measures for somatic symptoms of cancer and non-cancer paitents.,JnICKWY
GE-01-06-03,JmndeG4,"Plan for the management of common symptoms or distress in the acute care setting, with an understanding of the importance of communication with the patient and their families regarding the end of life care.",JnICKWY
GE-01-06-04,Jli5nRw,"Plan for the management of chronic pain with an understanding of its pathophysiology, course, and treatment strategies.",JnICKWY
GE-01-06-05,Jli5nR4,"Plan to support the patient and their family with consideration of their suffering and concern, including balancing care and schooling, working, and parenting.",JnICKWY
GE-02-01-01,Jkxpss0,Understand community health disparities and appropriately assess health care system issues such as barriers to accessing medical care.,JnICKWg
GE-02-01-02,Jkxpss4,Understand the relevance of a patient's geographic and cultural context to health.,JnICKWg
GE-02-02-01,JkxpstA,"Understand the current overview of health care and physician maldistribution (regional, departmental and clinical/non-clinical) according to the local contexts of the region (including urban, suburban, remote areas, and remote islands).",JnICKWk
GE-02-02-02,JkxpstE,Respond flexibly as a medical practitioner according to the local medical system and the stracture and function of medical institutions.,JnICKWk
GE-02-02-03,JkxpstI,Use indices such as incidence and prevalence of each disease in the areas where the patient resides and utilize them in clinical reasoning.,JnICKWk
GE-02-02-04,JkxpstM,"Collect quantitative indicators (e.g., population composition) and qualitative information (geographical, historical, economic, and cultural contexts) of the community and explain local health issues.",JnICKWk
GE-02-02-05,JkxpstQ,Understand an overview of the significance of community health promotion activities in collaboration with local residents and health/long-term/social/community care professionals.,JnICKWk
GE-02-03-01,Jkxpstg,Propose medical care and services adapting to the local human and physical resources of the community.,JnICKWo
GE-02-03-02,Jkxpstk,"Understand the outline of medical care delivery systems and systems for nursing care, health care, and welfare in situations with limited medical resources, such as remote islands, remote areas, and physician shortage areas.",JnICKWo
GE-02-04-01,Jli5nR8,Understand the necessity and outline of issues related to home medical care and the appropriate adaptation to each patient based on the current situation.,JnICKWs
GE-02-04-02,Jli5nSE,Understand the outline of medical care at home in the final stage of life and the nature of end-of-life care and its challenges.,JnICKWs
GE-03-01-01,Jkxpstw,"Consider patient issues from the perspective of the life cycle (fetal, neonatal, infant, school-age, adolescent, young adult, mature, geriatric, and end-of-life stages).",JnICKW0
GE-03-01-02,Jkxpst0,Consider health management and improvement of environment and lifestyle from the perspective of life stages and life events.,JnICKW0
GE-03-01-03,Jkxpst4,"Point out problems between patients and family members (abuse, neglect, etc.) from the perspective of the family life cycle, family member relationships, and family systems.",JnICKW0
