index,id,category,item
TBL-02-16-001,JlAKpy8,Symptoms,Consciousness disorder
TBL-02-16-002,JlAKpy0,Symptoms,Anxiety and depression
TBL-02-16-003,JlAKpy4,Symptoms,Cognitive impairment
TBL-02-16-004,JlAKpzA,Symptoms,Insomnia
TBL-02-16-005,JlAKpzE,Symptoms,Hallucination/delusion
TBL-02-16-006,JlAKpzI,Symptoms,Psychosis
TBL-02-16-007,JlAKpzM,Testing Methods,Questionnaire method
TBL-02-16-008,JlAKpzU,Methods,Brief Psychiatric Rating Scale (BPRS)
TBL-02-16-009,JlAKpzY,Methods,Hamilton Depression Rating Scale
TBL-02-16-010,JlAKpzc,Methods,Beck Depression Self-Rating Scale
TBL-02-16-011,JlAKpzg,Inspection Method,State-Trait Anxiety Inventory (STAI)
TBL-02-16-012,JlAKpzk,Inspection Method,Mini-Mental State Examination (MMSE)
TBL-02-16-013,JlAKpzo,Inspection Method,Revised Hasegawa Simplified Intelligence Rating Scale
TBL-02-16-014,JuX-PEU,Inspection Method,EEG
TBL-02-16-015,JuX-PEg,Inspection Method,"Brain imaging (CT, MRI, SPECT, etc.)"
TBL-02-16-016,JuX-PEk,Specific Therapy,Psychotherapy
TBL-02-16-017,JuX-PEs,Specific Therapy,Psychopharmacotherapy
TBL-02-16-018,JlAKpz0,Specific Therapy,"Law on Mental Health and Welfare of the Mentally Disabled, Medical Observation Law for the Insane, etc."
TBL-02-16-019,JlAKpz4,Specific Therapies,Consultation and liaison psychiatry
