index,id,category,item
TBL-02-01-001,JlAKpVg,Structure and Function,Structure of bone marrow
TBL-02-01-002,JlAKpVk,Structure and Function,Process of differentiation and maturation of hematopoietic stem cells into individual blood cells
TBL-02-01-003,JlAKpVo,Structure and Function,"Major hematopoietic factors (erythropoietin, granulocyte colony-stimulating factor (G-CSF), thrombopoietin)"
TBL-02-01-004,JlAKpVs,Structure and Function,"Structure and function of spleen, thymus, lymph nodes, tonsils and Peyer's patches"
TBL-02-01-005,JlAKpVw,Structure and Function,Types and functions of plasma proteins
TBL-02-01-006,JlAKpV0,Structure and Function,Structure and function of red blood cells and hemoglobin
TBL-02-01-007,JlAKpV4,Structure and Function,Types and functions of white blood cells
TBL-02-01-008,JlAKpV8,Structure and Function,"Platelet function and mechanisms of hemostasis, coagulation and fibrinolysis"
TBL-02-01-009,JlAKpWA,Symptoms,Fever
TBL-02-01-010,JlAKpWE,Symptoms,General malaise
TBL-02-01-011,JlAKpWI,Symptoms,jaundice
TBL-02-01-012,JlAKpWM,Symptoms,Lymphadenopathy
TBL-02-01-013,JlAKpWQ,Symptoms,anemia
TBL-02-01-014,JlAKpWU,Symptoms,Bleeding tendency
TBL-02-01-015,JlAKpWY,Symptoms,tendency to thrombosis
TBL-02-01-016,JlAKpWg,Testing Methods,Peripheral blood smear
TBL-02-01-017,JlAKpWk,Methods,"Coagulation, fibrinolysis, and platelet function tests"
TBL-02-01-018,JlAKpWo,Methods,"Bone marrow examination (bone marrow puncture, bone marrow biopsy)"
TBL-02-01-019,JlAKpWs,Methods,Transfusion-related tests
TBL-02-01-020,JlAKpWw,Methods,"Protein fractionation, immunoelectrophoresis"
TBL-02-01-021,JlAKpW0,Methods,Genetic and chromosome testing
TBL-02-01-022,JlAKpW4,Specific Therapy,Blood transfusion
TBL-02-01-023,JlAKpW8,Specific Therapy,Hematopoietic stem cell transplantation
