index,id,category,item
TBL-02-07-001,JlAKpjQ,Structure and Function,Location and morphology of each digestive organ and related blood vessels
TBL-02-07-002,JlAKpjU,Structure and Function,Relationship between the peritoneum and the organs
TBL-02-07-003,JlAKpjY,Structure and Function,"Basic structure of esophagus, stomach, small intestine, and large intestine and differences by site"
TBL-02-07-004,JlAKpjc,Structure and Function,Mechanism of digestive tract movement
TBL-02-07-005,JlAKpjg,Structure and Function,Action of the autonomic nervous system on the digestive organs
TBL-02-07-006,JlAKpjk,Structure and Function,Structure and function of the liver
TBL-02-07-007,JlAKpjo,Structure and Function,Action and secretory mechanism of gastric juice
TBL-02-07-008,JlAKpjs,Structure and Function,Action of bile and regulatory mechanism of gallbladder contraction
TBL-02-07-009,JlAKpjw,Structure and Function,Structure of the pancreatic exocrine system and action of pancreatic juice
TBL-02-07-010,JlAKpj0,Structure and Function,Mechanisms of digestion and absorption in the small intestine
TBL-02-07-011,JlAKpj4,Structure and Function,Mechanisms of fecal formation and defecation in the large intestine
TBL-02-07-012,JlAKpj8,Structure and Function,Action of major gastrointestinal hormones
TBL-02-07-013,JlAKpkA,Structure and Function,"Structure and function of teeth, tongue, and salivary glands"
TBL-02-07-014,JlAKpkE,Structure and Function,Mechanisms of chewing and swallowing
TBL-02-07-015,JlAKpkI,Structure and Function,Role of normal bacterial flora (intestinal microflora) in the digestive tract
TBL-02-07-016,JlAKpkU,Symptoms,Anorexia (desire to eat)
TBL-02-07-017,JlAKpkM,Symptoms,Abdominal pain
TBL-02-07-018,JlAKpkQ,Symptoms,Nausea and vomiting
TBL-02-07-019,JlAKpkg,Symptoms,hematemesis
TBL-02-07-020,JlAKpkk,Symptoms,Hematemesis
TBL-02-07-021,JlAKpkY,Symptoms,Constipation
TBL-02-07-022,JlAKpkc,Symptoms,diarrhea
TBL-02-07-023,JlAKpks,Symptoms,jaundice
TBL-02-07-024,JlAKpko,Symptoms,Abdominal distention or mass
TBL-02-07-025,JlAKpkw,Symptoms,heartburn
TBL-02-07-026,JlAKpk0,Symptoms,hepatomegaly
TBL-02-07-027,JlAKpk4,Testing Methods,Hepatitis virus test
TBL-02-07-028,JlAKpk8,Methods,"tumor markers (AFP, CEA, CA 19-9, PIVKA-II, etc.)"
TBL-02-07-029,JlAKplA,Methods,"Imaging tests (radiography, CT, MRI)"
TBL-02-07-030,JlAKplE,Methods,Endoscopy
TBL-02-07-031,JlAKplI,Examination Methods,"Biopsy, cytology"
TBL-02-07-032,JlAKplM,Specific Therapy,Tube and enteral nutrition
TBL-02-07-033,JlAKplQ,Specific Therapy,"Endoscopic treatment (hemostasis, coagulation, clipping, sclerotherapy, etc.)"
TBL-02-07-034,JlAKplU,Specific Therapy,"Endovascular treatment (arterial embolization, etc.)"
