index,id,category,item
TBL-02-05-001,JlAKpeQ,Structure and Function,"Structure of the heart and distributed vessels and nerves, features of coronary arteries and their distribution area"
TBL-02-05-002,JlAKpeU,Structure and Function,Microstructure and function of cardiac myocytes
TBL-02-05-003,JlAKpeY,Structure and Function,Electrical phenomena of cardiac myocytes and excitation (stimulus) conduction system of the heart
TBL-02-05-004,JlAKpec,Structure and Function,Excitation-contraction linkage
TBL-02-05-005,JlAKpeg,Structure and Function,"Body circulation, pulmonary circulation, and fetal and placental circulation"
TBL-02-05-006,JlAKpek,Structure and Function,"Aorta and its main branches (head and neck, upper limbs, chest, abdomen, lower limbs) are illustrated and their areas of distribution"
TBL-02-05-007,JlAKpeo,Structure and Function,"Major veins, portal system and superior and inferior vena cava system"
TBL-02-05-008,JlAKpes,Structure and Function,Material and water exchange in capillaries
TBL-02-05-009,JlAKpew,Structure and Function,Lymphatic flow through the thoracic duct
TBL-02-05-010,JlAKpe0,Structure and Function,Hemodynamics associated with the cardiac cycle
TBL-02-05-011,JlAKpe4,Structure and Function,Cardiac function curve and mechanisms of cardiac output regulation
TBL-02-05-012,JlAKpe8,Structure and Function,"Circulatory regulation of major organs (brain, heart, lungs, kidneys)"
TBL-02-05-013,JlAKpfA,Structure and Function,Mechanisms of blood pressure regulation
TBL-02-05-014,JlAKpfE,Structure and Function,Circulatory response to body position and exercise and its mechanisms
TBL-02-05-015,JlAKpfg,Symptoms,Weight gain
TBL-02-05-016,JlAKpfk,Symptoms,Disturbance of consciousness
TBL-02-05-017,JlAKpfo,Symptoms,Fainting
TBL-02-05-018,JlAKpfc,Symptoms,edema
TBL-02-05-019,JlAKpfY,Symptoms,Cough and phlegm
TBL-02-05-020,JlAKpfU,Symptoms,Dyspnea
TBL-02-05-021,JlAKpfI,Symptoms,Chest pain
TBL-02-05-022,JlAKpfQ,Symptoms,Palpitations
TBL-02-05-023,JlAKpfM,Symptoms,Lumbar back pain
TBL-02-05-024,JlAKpfs,Symptoms,Pleural effusion
TBL-02-05-025,JlAKpfw,Testing Methods,Simple chest X-ray
TBL-02-05-026,JlAKpf0,Methods,"Electrocardiogram (resting, exercise stress EKG, Holter EKG)"
TBL-02-05-027,JlAKpf4,Methods,Echocardiography
TBL-02-05-028,JlAKpf8,Methods,Cardiac scintigraphy
TBL-02-05-029,JlAKpgA,Methods,"Coronary angiography, coronary CT, MRI"
TBL-02-05-030,JlAKpgE,Methods,"Cardiac catheterization (measurement of intracardiac pressure, cardiac function, shunt rate)"
TBL-02-05-031,JlAKpgI,Specific Therapy,"Revascularization procedures for ischemic heart disease (percutaneous coronary angioplasty, stenting, coronary artery bypass grafting)"
TBL-02-05-032,JlAKpgM,Specific Therapy,"Non-pharmacologic therapy for arrhythmia (catheter ablation, electrical cardioversion, pacemaker implantation, implantable cardioverter-defibrillator)"
TBL-02-05-033,JlAKpgQ,Specific Therapy,Cardiac rehabilitation and other disease management programs
