index,id,category,item
TBL-02-15-001,JlAKpvw,Structure and Function,"Structure of the outer, middle and inner ear"
TBL-02-15-002,JlAKpv0,Structure and Function,Receptive Mechanisms and Conduction Pathways of Hearing and Balance
TBL-02-15-003,JlAKpv4,Structure and Function,"Structure of the oral cavity, nasal cavity, pharynx and larynx"
TBL-02-15-004,JlAKpv8,Structure and Function,Function and innervation of the larynx
TBL-02-15-005,JlAKpwA,Structure and Function,Mechanism of balance in relation to eye movement and postural control
TBL-02-15-006,JlAKpwE,Structure and Function,Receptive mechanisms and conduction pathways of taste and smell
TBL-02-15-007,JlAKpwM,Symptoms,Dizziness
TBL-02-15-008,JlAKpwQ,Symptoms,Dysphagia
TBL-02-15-009,JlAKpwU,Symptoms,Airway narrowing
TBL-02-15-010,JlAKpwY,Symptoms,Hearing loss
TBL-02-15-011,JlAKpwc,Symptoms,epistaxis
TBL-02-15-012,JlAKpwg,Symptoms,sore throat
TBL-02-15-013,JlAKpwk,Symptoms,difficulty in opening the mouth
TBL-02-15-014,JlAKpwo,Symptoms,recurrent nerve palsy (hoarseness)
TBL-02-15-015,JlAKpws,Symptoms,tinnitus
TBL-02-15-016,JlAKpww,Symptoms,nasal obstruction
TBL-02-15-017,JlAKpw0,Symptoms,rhinorrhea
TBL-02-15-018,JlAKpw4,Symptoms,olfactory disturbance
TBL-02-15-019,JlAKpw8,Symptoms,snoring
TBL-02-15-020,JlAKpxA,Symptoms,taste disorder
TBL-02-15-021,JlAKpxE,Symptoms,abnormal salivation
TBL-02-15-022,JlAKpxI,Symptoms,Oral abnormalities
TBL-02-15-023,JlAKpxM,Testing Methods,Hearing and Balance Function Tests
TBL-02-15-024,JlAKpxQ,Methods,Taste and smell tests
TBL-02-15-025,JlAKpxU,Examination Methods,"Otoscopy, rhinoscopy, laryngoscopy, nasopharyngeal and laryngeal endoscopy"
TBL-02-15-026,JlAKpxY,Specific Treatment,Hearing aids and artificial hearing devices
TBL-02-15-027,JlAKpxc,Specific treatment,Tracheostomy
