index,id,category,item
TBL-02-14-001,JlAKptw,Structure and Function,Structure of the eye and adnexa
TBL-02-14-002,JlAKpt0,Structure and Function,Mechanism of visual information reception and conduction pathways
TBL-02-14-003,JlAKpt4,Structure and Function,Mechanism of eye movement
TBL-02-14-004,JlAKpt8,Structure and Function,"Functions of the contralateral light reflex, convergence reflex, and corneal reflex"
TBL-02-14-005,JlAKpuA,Symptoms,Dizziness
TBL-02-14-006,JlAKpuE,Symptoms,Headache
TBL-02-14-007,JlAKpuI,Symptoms,Nausea and vomiting
TBL-02-14-008,JlAKpuM,Symptoms,Visual impairment
TBL-02-14-009,JlAKpuQ,Symptoms,Visual field abnormality
TBL-02-14-010,JlAKpuU,Symptoms,Eye movement disorder
TBL-02-14-011,JlAKpuY,Symptoms,Eye fat/eye redness
TBL-02-14-012,JlAKpuc,Symptoms,mosquitosis
TBL-02-14-013,JlAKpug,Symptoms,Eye pain
TBL-02-14-014,JlAKpuk,Testing Methods,Visual acuity test
TBL-02-14-015,JlAKpuo,Methods,Visual field test
TBL-02-14-016,JlAKpus,Methods,Slit-lamp microscopy
TBL-02-14-017,JlAKpuw,Methods,Intraocular pressure test
TBL-02-14-018,JlAKpu0,Examination Methods,Fundus examination
TBL-02-14-019,JlAKpu4,Specific Therapy,Laser Therapy
