index,id,category,item
TBL-02-17-001,JlAKp1U,Symptoms,Fever
TBL-02-17-002,JlAKp1Y,Symptoms,general malaise
TBL-02-17-003,JlAKp1k,Symptoms,edema
TBL-02-17-004,JlAKp1s,Symptoms,cough/phlegm
TBL-02-17-005,JlAKp1o,Symptoms,Dyspnea
TBL-02-17-006,JlAKp1c,Symptoms,skin rash
TBL-02-17-007,JlAKp1g,Symptoms,Lymphadenopathy
TBL-02-17-008,JlAKp1w,Symptoms,hematuria
TBL-02-17-009,JlAKp10,Symptoms,Arthralgia/joint swelling
TBL-02-17-010,JnNn_eY,Examination Methods,Explain the types of autoantibodies and their clinical significance.
TBL-02-17-011,JnNn_ec,Specific Treatment,Treatment with immunosuppressive drugs
TBL-02-17-012,JnNn_ek,Specific treatment,Rehabilitation for rheumatic diseases
