index,id,category,item
TBL-02-10-001,JlAKpp4,Structure and Function,"Maternal anatomic and physiologic changes during pregnancy, labor, and postpartum"
TBL-02-10-002,JlAKpp8,Structure and Function,Functional and morphological changes during the development of the fetus and placental system
TBL-02-10-003,JlAKpqA,Structure and Function,Normal course of pregnancy (including physical changes associated with pregnancy)
TBL-02-10-004,JlAKpqE,Structure and Function,The process of normal childbirth
TBL-02-10-005,JlAKpqI,Structure and Function,The process of postpartum confinement
TBL-02-10-006,JlAKpqM,Structure and Function,"Maternal changes, mental problems and maternal and child health associated with child care"
TBL-02-10-007,JlAKpqQ,Symptoms,Abdominal pain
TBL-02-10-008,JlAKpqU,Symptoms,Nausea and vomiting
TBL-02-10-009,JlAKpqY,Symptoms,Abdominal distention and mass
TBL-02-10-010,JlAKpqg,Symptoms,Menstrual abnormalities
TBL-02-10-011,JlAKpqc,Symptoms,Genital bleeding
TBL-02-10-012,JlAKpqk,Testing Methods,"Pregnancy tests (pregnancy reactions, ultrasound)"
TBL-02-10-013,JlAKpqo,Methods,"Examination of pregnancy (blood test, prenatal genetic test, amniotic fluid test, secretion test, nonstress test, ultrasound, ultrasound Doppler technique, amniotic fluid volume)"
TBL-02-10-014,JlAKpqs,Examination Methods,"Examination of delivery (ultrasonography, fetal heart rate labor chart)"
TBL-02-10-015,JlAKpqw,Specific Treatment,Pregnancy medication precautions
TBL-02-10-016,JlAKpq0,Specific treatment,"Indications for abortion, forceps/suction delivery, cesarean section"
