index,id,category,item
TBL-02-04-001,JlAKpb0,Structure and Function,"Composition and function of bones, cartilage, joints, and ligaments"
TBL-02-04-002,JlAKpb4,Structure and Function,Composition of the head and neck
TBL-02-04-003,JlAKpb8,Structure and Function,Composition and function of the spinal column
TBL-02-04-004,JlAKpcA,Structure and Function,"Skeleton of extremities, movement and innervation of major muscle groups"
TBL-02-04-005,JlAKpcE,Structure and Function,Composition and sex differences of the pelvis
TBL-02-04-006,JlAKpcI,Structure and Function,Mechanisms of bone growth and bone formation and resorption
TBL-02-04-007,JlAKpcM,Structure and Function,Muscle groups involved in posture and trunk movement
TBL-02-04-008,JlAKpcQ,Structure and Function,Antigravity muscles
TBL-02-04-009,JlAKpcU,Symptoms,Motor paralysis and muscle weakness
TBL-02-04-010,JlAKpcg,Symptoms,Gait disturbance
TBL-02-04-011,JlAKpck,Symptoms,sensory disturbance
TBL-02-04-012,JlAKpcc,Symptoms,Lumbar back pain
TBL-02-04-013,JlAKpcY,Symptoms,Arthralgia and joint swelling
TBL-02-04-014,Jlvnlp8,Symptoms,Neck pain
TBL-02-04-015,JlAKpco,Testing Methods,"Manual testing for musculoskeletal conditions (range of motion testing of limbs and spine, neurological testing, etc.)"
TBL-02-04-016,JlAKpcs,Methods,"Musculoskeletal imaging (radiography, CT, MRI, ultrasound, bone mineral density)"
TBL-02-04-017,JlAKpcw,Examination Methods,Joint fluid testing
TBL-02-04-018,JlAKpc0,Specific Treatment,Rehabilitation of musculoskeletal disorders
TBL-02-04-019,JlAKpc4,Specific Therapy,"Treatment and procedures for sprains, fractures, and dislocations"
