index,id,category,item
TBL-07-00-001,JlAKx_k,General Hand Techniques,"Position change, transfer"
TBL-07-00-002,Jub5cSY,General Hand Techniques,skin sterilization
TBL-07-00-003,Jub5cSc,General Hand Techniques,Application of topical medication
TBL-07-00-004,JlAKx_s,General Hand Techniques,Airway suctioning
TBL-07-00-005,Jub5dh8,General Hand Techniques,nebuliser
TBL-07-00-006,JlAKx_w,General Hand Technique,Venous blood collection
TBL-07-00-007,JlAKx_0,General Hand Technique,Peripheral venous vascularization
TBL-07-00-008,JlAKyAA,General Hand Technique,Insertion and removal of gastric tube
TBL-07-00-009,JlAKyAE,General Hand Technique,Insertion and removal of urinary catheter
TBL-07-00-010,JlAKyAI,General Hand Technique,Intradermal injection
TBL-07-00-011,JlAKyAQ,General Hand Technique,Subcutaneous injection
TBL-07-00-012,JlAKyAU,General Hand Technique,Muscular injection
TBL-07-00-013,JlAKyAY,General Hand Techniques,Intravenous injection
TBL-07-00-014,Jub5eUA,Inspection Techniques,Urinalysis (including pregnancy test)
TBL-07-00-015,JlAKyAc,Inspection Techniques,Microbiology (including Gram staining)
TBL-07-00-016,JlAKyAg,Inspection Techniques,12-lead ECG recording
TBL-07-00-017,JlAKyAk,Inspection Techniques,Simple echo for clinical judgment (including FAST)
TBL-07-00-018,JlAKyAs,Inspection Techniques,Rapid test for pathogen antigens
TBL-07-00-019,JlAKyAw,Investigative Techniques,Simple blood glucose test
TBL-07-00-020,JlAKyA0,Surgical Techniques,Cleanliness operations
TBL-07-00-021,JlAKyA4,Surgical Techniques,Hand washing for surgery and procedures
TBL-07-00-022,JlAKyA8,Surgical Techniques,Gowning techniques in the operating room
TBL-07-00-023,JlAKyBA,Surgical Techniques,Basic suturing and suture removal
