index,id,category,item
TBL-02-06-001,JlAKphE,Structure and Function,"Structure of the airways, pulmonary lobes and areas and the pulmonary hilum"
TBL-02-06-002,JlAKphI,Structure and Function,Difference between pulmonary and systemic circulation
TBL-02-06-003,JlAKphM,Structure and Function,Structure of mediastinum and pleural cavity
TBL-02-06-004,JlAKphQ,Structure and Function,Respiratory muscles and mechanisms of respiratory movement
TBL-02-06-005,JlAKphU,Structure and Function,"Lung air volume fractionation, ventilation, and dead space (ventilatory mechanics (intrathoracic pressure, lung compliance, resistance, closing volume (closing volume))"
TBL-02-06-006,JlAKphY,Structure and Function,Relationship between gas exchange and blood flow in the alveoli
TBL-02-06-007,JlAKphc,Structure and Function,Effect of pulmonary ventilation and blood flow (ventilation to blood flow ratio) on arterial blood gases (alveolar-arterial oxygen partial pressure gradient (A-aDO2))
TBL-02-06-008,JlAKphg,Structure and Function,Mechanisms of respiratory regulation via the respiratory center
TBL-02-06-009,JlAKphk,Structure and Function,Mechanisms of oxygen and carbon dioxide transport by blood
TBL-02-06-010,JlAKpho,Structure and Function,Airway and lung defense mechanisms (immunological and non-immunological) and metabolic functions
TBL-02-06-011,JlAKph0,Symptoms,Cough and sputum
TBL-02-06-012,JlAKph4,Symptoms,Blood sputum/hematoptysis
TBL-02-06-013,JlAKphw,Symptoms,Dyspnea
TBL-02-06-014,JlAKphs,Symptoms,Chest pain
TBL-02-06-015,JlAKpiA,Symptoms,Chest tightness
TBL-02-06-016,JlAKpiE,Symptoms,Abnormal respiratory rate/rhythm
TBL-02-06-017,JlAKph8,Symptoms,Wheezing
TBL-02-06-018,JlAKpiI,Symptoms,Pleural effusion
TBL-02-06-019,JlAKpiM,Testing Methods,"Sputum examination (sputum cytology, sputum culture)"
TBL-02-06-020,JlAKpiQ,Methods,"Pleural fluid test, pleural biopsy"
TBL-02-06-021,JlAKpiU,Methods,"Respiratory function tests (spirometry, pulmonary diffusion capacity, flow-volume curve), arterial blood gas analysis, polysomnography, peak flowmetry"
TBL-02-06-022,JlAKpiY,Methods,"Imaging tests (radiography, CT, MRI), nuclear medicine tests (positron emission tomography (PET))"
TBL-02-06-023,JlAKpic,Examination Methods,Bronchoscopy
TBL-02-06-024,JlAKpig,Specific Therapy,Respiratory physiotherapy and rehabilitation
TBL-02-06-025,JlAKpik,Specific Therapy,Oxygen therapy
TBL-02-06-026,JlAKpio,Specific Therapy,Artificial ventilation
