index,id,item
TBL-03-00-001,JkxirtA,"Examination of the head (facial features, hair, scalp, cranium)"
TBL-03-00-002,JkxirtE,"Eye (visual field, pupil, light reflex, eye movement and protrusion, conjunctiva)"
TBL-03-00-003,JkxirtI,"Ear (auricular, hearing) examination"
TBL-03-00-004,JkxirtM,Observation of the external auditory canal and tympanic membrane using an otoscope
TBL-03-00-005,JkxirtQ,"Examination of lips, oral cavity, pharynx, tonsils"
TBL-03-00-006,JkxirtU,Examination of the sinuses
TBL-03-00-007,JkxirtY,Observation of the anterior nasal cavity using a rhinoscope
TBL-03-00-008,Jkxirtc,"Examination of the thyroid gland, cervical blood vessels, trachea, and salivary glands"
TBL-03-00-009,Jkxirtg,Examination of head and neck lymph nodes
TBL-03-00-010,Jkxirtk,"Visual examination, palpation, and percussion of the chest"
TBL-03-00-011,Jkxirto,Auscultation of breath sounds and parasympathetic murmurs
TBL-03-00-012,Jkxirts,Auscultation of heart sounds and murmurs
TBL-03-00-013,Jkxirtw,"Visual and auscultatory examination of the abdomen (bowel murmur, vascular murmur), percussion, palpation"
TBL-03-00-014,JkxiruE,Tapping pain on the back
TBL-03-00-015,JkxiruI,Rectal (including prostate) finger examination
TBL-03-00-016,JkxiruM,Breast examination
TBL-03-00-017,JkxiruQ,Assessment of level of consciousness
TBL-03-00-018,JkxiruU,Examination of the cranial nervous system
TBL-03-00-019,Jm6K67M,Fundus examination
TBL-03-00-020,JkxiruY,Tendon reflex examination
TBL-03-00-021,Jkxiruc,Cerebellar function and motor system examination
TBL-03-00-022,Jkxirug,"Examination of sensory system (pain, temperature, touch, deep sensation)"
TBL-03-00-023,Jkxiruk,Findings of meningeal irritation
TBL-03-00-024,Jkxiruo,"Examination of extremities and spine (kyphosis, pain)"
TBL-03-00-025,Jkxiruw,"Examination of joints (range of motion, swelling, pain, deformation)"
TBL-03-00-026,Jkxiru0,Musculoskeletal examination (manual muscle testing)
TBL-03-00-027,Jm6K67U,Gynecological examination (bilateral and cusp diagnosis)
