index,id,category,item
TBL-02-10-001,JlAKpp4,構造と機能,妊娠・分娩・産褥での母体の解剖学的と生理学的変化
TBL-02-10-002,JlAKpp8,構造と機能,胎児・胎盤系の発達過程での機能・形態的変化
TBL-02-10-003,JlAKpqA,構造と機能,正常妊娠の経過（妊娠に伴う身体的変化を含む）
TBL-02-10-004,JlAKpqE,構造と機能,正常分娩の経過
TBL-02-10-005,JlAKpqI,構造と機能,産褥の過程
TBL-02-10-006,JlAKpqM,構造と機能,育児に伴う母体の変化、精神問題及び母子保健
TBL-02-10-007,JlAKpqQ,症候,腹痛
TBL-02-10-008,JlAKpqU,症候,悪心・嘔吐
TBL-02-10-009,JlAKpqY,症候,腹部膨隆・腫瘤
TBL-02-10-010,JlAKpqg,症候,月経異常
TBL-02-10-011,JlAKpqc,症候,性器出血
TBL-02-10-012,JlAKpqk,検査方法,妊娠の検査（妊娠反応、超音波検査）
TBL-02-10-013,JlAKpqo,検査方法,妊娠中の検査（血液検査・出生前遺伝学的検査・羊水検査・分泌物検査・ノンストレステスト・超音波検査・超音波ドプラ法・羊水量）
TBL-02-10-014,JlAKpqs,検査方法,分娩の検査（超音波検査・胎児心拍数陣痛図）
TBL-02-10-015,JlAKpqw,特異的治療法,妊娠時の薬物療法の注意点
TBL-02-10-016,JlAKpq0,特異的治療法,人工妊娠中絶、鉗子・吸引分娩、帝王切開術の適応
