id1,text1,id2,text2,id3,text3,id4,text4,id5,text5
A,医師として求められる基本的な資質・能力,A-01,プロフェッショナリズム,A-01-01,医の倫理と生命倫理,A-01-01-na,なし,A-01-01-na-01,医学・医療の歴史的な流れとその意味を概説できる。
A,医師として求められる基本的な資質・能力,A-01,プロフェッショナリズム,A-01-01,医の倫理と生命倫理,A-01-01-na,なし,A-01-01-na-02,臨床倫理や生と死に関わる倫理的問題を概説できる。
A,医師として求められる基本的な資質・能力,A-01,プロフェッショナリズム,A-01-01,医の倫理と生命倫理,A-01-01-na,なし,A-01-01-na-03,ヒポクラテスの誓い、ジュネーブ宣言、医師の職業倫理指針、医師憲章等医療の倫理に関する規範を概説できる。
A,医師として求められる基本的な資質・能力,A-01,プロフェッショナリズム,A-01-02,患者中心の視点,A-01-02-na,なし,A-01-02-na-01,リスボン宣言等に示された患者の基本的権利を説明できる。
A,医師として求められる基本的な資質・能力,A-01,プロフェッショナリズム,A-01-02,患者中心の視点,A-01-02-na,なし,A-01-02-na-02,患者の自己決定権の意義を説明できる。
A,医師として求められる基本的な資質・能力,A-01,プロフェッショナリズム,A-01-02,患者中心の視点,A-01-02-na,なし,A-01-02-na-03,選択肢が多様な場合でも適切に説明を行い患者の価値観を理解して、患者の自己決定を支援する。
A,医師として求められる基本的な資質・能力,A-01,プロフェッショナリズム,A-01-02,患者中心の視点,A-01-02-na,なし,A-01-02-na-04,インフォームド・コンセントとインフォームド・アセントの意義と必要性を説明できる。
A,医師として求められる基本的な資質・能力,A-01,プロフェッショナリズム,A-01-03,医師としての責務と裁量権,A-01-03-na,なし,A-01-03-na-01,診療参加型臨床実習において患者やその家族と信頼関係を築くことができる。
A,医師として求められる基本的な資質・能力,A-01,プロフェッショナリズム,A-01-03,医師としての責務と裁量権,A-01-03-na,なし,A-01-03-na-02,患者やその家族のもつ価値観や社会的背景が多様であり得ることを認識し、そのいずれにも柔軟に対応できる。
A,医師として求められる基本的な資質・能力,A-01,プロフェッショナリズム,A-01-03,医師としての責務と裁量権,A-01-03-na,なし,A-01-03-na-03,医師が患者に最も適した医療を勧めなければならない理由を説明できる。
A,医師として求められる基本的な資質・能力,A-01,プロフェッショナリズム,A-01-03,医師としての責務と裁量権,A-01-03-na,なし,A-01-03-na-04,医師には能力と環境により診断と治療の限界があることを説明できる。
A,医師として求められる基本的な資質・能力,A-01,プロフェッショナリズム,A-01-03,医師としての責務と裁量権,A-01-03-na,なし,A-01-03-na-05,医師の法的義務を列挙し、例示できる。
A,医師として求められる基本的な資質・能力,A-02,医学知識と問題対応能力,A-02-01,課題探求・解決能力,A-02-01-na,なし,A-02-01-na-01,必要な課題を自ら発見できる。
A,医師として求められる基本的な資質・能力,A-02,医学知識と問題対応能力,A-02-01,課題探求・解決能力,A-02-01-na,なし,A-02-01-na-02,自分に必要な課題を、重要性・必要性に照らして順位付けできる。
A,医師として求められる基本的な資質・能力,A-02,医学知識と問題対応能力,A-02-01,課題探求・解決能力,A-02-01-na,なし,A-02-01-na-03,課題を解決する具体的な方法を発見し、課題を解決できる。
A,医師として求められる基本的な資質・能力,A-02,医学知識と問題対応能力,A-02-01,課題探求・解決能力,A-02-01-na,なし,A-02-01-na-04,課題の解決に当たり、他の学修者や教員と協力してよりよい解決方法を見出すことができる。
A,医師として求められる基本的な資質・能力,A-02,医学知識と問題対応能力,A-02-01,課題探求・解決能力,A-02-01-na,なし,A-02-01-na-05,適切な自己評価ができ、改善のための具体的方策を立てることができる。
A,医師として求められる基本的な資質・能力,A-02,医学知識と問題対応能力,A-02-02,学修の在り方,A-02-02-na,なし,A-02-02-na-01,講義、国内外の教科書・論文、検索情報等の内容について、重要事項や問題点を抽出できる。
A,医師として求められる基本的な資質・能力,A-02,医学知識と問題対応能力,A-02-02,学修の在り方,A-02-02-na,なし,A-02-02-na-02,得られた情報を統合し、客観的・批判的に整理して自分の考えを分かりやすく表現できる。
A,医師として求められる基本的な資質・能力,A-02,医学知識と問題対応能力,A-02-02,学修の在り方,A-02-02-na,なし,A-02-02-na-03,実験・実習の内容を決められた様式に従って文書と口頭で発表できる。
A,医師として求められる基本的な資質・能力,A-02,医学知識と問題対応能力,A-02-02,学修の在り方,A-02-02-na,なし,A-02-02-na-04,後輩等への適切な指導が実践できる。
A,医師として求められる基本的な資質・能力,A-02,医学知識と問題対応能力,A-02-02,学修の在り方,A-02-02-na,なし,A-02-02-na-05,各自の興味に応じて選択制カリキュラム（医学研究等）に参加する。
A,医師として求められる基本的な資質・能力,A-03,診療技能と患者ケア,A-03-01,全人的実践的能力,A-03-01-na,なし,A-03-01-na-01,病歴（主訴、現病歴、既往歴、家族歴、生活歴、社会歴・職業歴、システムレビュー等）を適切に聴取するとともに患者との良好な関係を構築し、必要に応じて患者教育を行える。
A,医師として求められる基本的な資質・能力,A-03,診療技能と患者ケア,A-03-01,全人的実践的能力,A-03-01-na,なし,A-03-01-na-02,網羅的に系統立てて適切な順序で効率的な身体診察を行える。異常所見を認識・記録し、適切な鑑別診断が行える。
A,医師として求められる基本的な資質・能力,A-03,診療技能と患者ケア,A-03-01,全人的実践的能力,A-03-01-na,なし,A-03-01-na-03,基本的な臨床技能（適応、実施方法、合併症、注意点）を理解し、適切な態度で診断や治療を行える。
A,医師として求められる基本的な資質・能力,A-03,診療技能と患者ケア,A-03-01,全人的実践的能力,A-03-01-na,なし,A-03-01-na-04,診療録（カルテ）についての基本的な知識を修得し、問題志向型医療記録(problem-oriented medical record <POMR>)形式で診療録を作成し、必要に応じて医療文書を作成できる。
A,医師として求められる基本的な資質・能力,A-03,診療技能と患者ケア,A-03-01,全人的実践的能力,A-03-01-na,なし,A-03-01-na-05,患者の病状（症状、身体所見、検査所見等）、プロブレムリスト、鑑別診断、臨床経過、治療法の要点を提示し、医療チーム構成員と意見交換ができる。
A,医師として求められる基本的な資質・能力,A-03,診療技能と患者ケア,A-03-01,全人的実践的能力,A-03-01-na,なし,A-03-01-na-06,緊急を要する病態や疾患・外傷の基本的知識を説明できる。診療チームの一員として救急医療に参画できる。
A,医師として求められる基本的な資質・能力,A-03,診療技能と患者ケア,A-03-01,全人的実践的能力,A-03-01-na,なし,A-03-01-na-07,慢性疾患や慢性疼痛の病態、経過、治療を説明できる。医療を提供する場や制度に応じて、診療チームの一員として慢性期医療に参画できる。
A,医師として求められる基本的な資質・能力,A-03,診療技能と患者ケア,A-03-01,全人的実践的能力,A-03-01-na,なし,A-03-01-na-08,患者の苦痛や不安感に配慮しながら、就学・就労、育児・介護等との両立支援を含め患者と家族に対して誠実で適切な支援を行える。
A,医師として求められる基本的な資質・能力,A-04,コミュニケーション能力,A-04-01,コミュニケーション,A-04-01-na,なし,A-04-01-na-01,コミュニケーションの方法と技能（言語的と非言語的）を説明し、コミュニケーションが態度あるいは行動に及ぼす影響を概説できる。
A,医師として求められる基本的な資質・能力,A-04,コミュニケーション能力,A-04-01,コミュニケーション,A-04-01-na,なし,A-04-01-na-02,コミュニケーションを通じて良好な人間関係を築くことができる。
A,医師として求められる基本的な資質・能力,A-04,コミュニケーション能力,A-04-01,コミュニケーション,A-04-01-na,なし,A-04-01-na-03,患者・家族の話を傾聴し、共感することができる。
A,医師として求められる基本的な資質・能力,A-04,コミュニケーション能力,A-04-02,患者と医師の関係,A-04-02-na,なし,A-04-02-na-01,患者と家族の精神的・身体的苦痛に十分配慮できる。
A,医師として求められる基本的な資質・能力,A-04,コミュニケーション能力,A-04-02,患者と医師の関係,A-04-02-na,なし,A-04-02-na-02,患者に分かりやすい言葉で説明できる。
A,医師として求められる基本的な資質・能力,A-04,コミュニケーション能力,A-04-02,患者と医師の関係,A-04-02-na,なし,A-04-02-na-03,患者の心理的及び社会的背景や自立した生活を送るための課題を把握し、抱える問題点を抽出・整理できる。
A,医師として求められる基本的な資質・能力,A-04,コミュニケーション能力,A-04-02,患者と医師の関係,A-04-02-na,なし,A-04-02-na-04,医療行為が患者と医師の契約的な信頼関係に基づいていることを説明できる。
A,医師として求められる基本的な資質・能力,A-04,コミュニケーション能力,A-04-02,患者と医師の関係,A-04-02-na,なし,A-04-02-na-05,患者の要望（診察・転医・紹介）への対処の仕方を説明できる。
A,医師として求められる基本的な資質・能力,A-04,コミュニケーション能力,A-04-02,患者と医師の関係,A-04-02-na,なし,A-04-02-na-06,患者のプライバシーに配慮できる。
A,医師として求められる基本的な資質・能力,A-04,コミュニケーション能力,A-04-02,患者と医師の関係,A-04-02-na,なし,A-04-02-na-07,患者情報の守秘義務と患者等への情報提供の重要性を理解し、適切な取扱いができる。
A,医師として求められる基本的な資質・能力,A-05,チーム医療の実践,A-05-01,患者中心のチーム医療,A-05-01-na,なし,A-05-01-na-01,チーム医療の意義を説明できる。
A,医師として求められる基本的な資質・能力,A-05,チーム医療の実践,A-05-01,患者中心のチーム医療,A-05-01-na,なし,A-05-01-na-02,医療チームの構成や各構成員（医師、歯科医師、薬剤師、看護師、その他の医療職）の役割分担と連携・責任体制を説明し、チームの一員として参加できる。
